repo__npm_pkg,repo__nameWithOwner,repo__hasTestScript,repo__npms_score,data__success_count,data__success_total_rate,data__success_run_rate,data__failure_count,data__failure_total_rate,data__failure_run_rate,data__pending_count,data__pending_total_rate,data__pending_run_rate
uuid,kelektiv/node-uuid,1,0.9365171821421499,23,0.8214285714285714,1,0,0,0,5,0.17857142857142858,0.21739130434782608
es6-promise,stefanpenner/es6-promise,1,0.9197364681974844,27,0.7941176470588235,0.9642857142857143,1,0.029411764705882353,0.03571428571428571,6,0.17647058823529413,0.21428571428571427
acorn,acornjs/acorn,1,0.9084750820287657,58,0.7733333333333333,1,0,0,0,17,0.22666666666666666,0.29310344827586204
postcss-loader,postcss/postcss-loader,1,0.903241439575496,62,1,1,0,0,0,0,0,0
joi,hapijs/joi,1,0.9010259339300382,181,0.8872549019607843,0.9329896907216495,13,0.06372549019607843,0.06701030927835051,10,0.049019607843137254,0.05154639175257732
cross-spawn,moxystudio/node-cross-spawn,1,0.90003783555059,48,0.8888888888888888,0.8888888888888888,6,0.1111111111111111,0.1111111111111111,0,0,0
boom,hapijs/boom,1,0.8986482296504711,61,0.9104477611940298,0.9384615384615385,4,0.05970149253731343,0.06153846153846154,2,0.029850746268656716,0.03076923076923077
jsonfile,jprichardson/node-jsonfile,1,0.8931535593394644,22,0.88,0.9166666666666666,2,0.08,0.08333333333333333,1,0.04,0.041666666666666664
ms,zeit/ms,1,0.8904368621000167,7,0.3684210526315789,1,0,0,0,12,0.631578947368421,1.7142857142857142
url-loader,webpack-contrib/url-loader,1,0.8900812043109424,14,0.4375,0.9333333333333333,1,0.03125,0.06666666666666667,17,0.53125,1.1333333333333333
vinyl,gulpjs/vinyl,1,0.8891208280688425,5,0.1724137931034483,1,0,0,0,24,0.8275862068965517,4.8
pify,sindresorhus/pify,1,0.8868071587568348,9,0.8181818181818182,0.8181818181818182,2,0.18181818181818182,0.18181818181818182,0,0,0
globby,sindresorhus/globby,1,0.8839920501793121,26,0.896551724137931,1,0,0,0,3,0.10344827586206896,0.11538461538461539
nodemailer,nodemailer/nodemailer,1,0.8838735192448669,167,0.7016806722689075,0.9382022471910112,11,0.046218487394957986,0.06179775280898876,60,0.25210084033613445,0.33707865168539325
invariant,zertosh/invariant,1,0.8778456323670596,8,0.6153846153846154,1,0,0,0,5,0.38461538461538464,0.625
ora,sindresorhus/ora,1,0.8776423306704437,26,0.7878787878787878,1,0,0,0,7,0.21212121212121213,0.2692307692307692
http-errors,jshttp/http-errors,1,0.8770410301635958,22,0.8461538461538461,0.8461538461538461,4,0.15384615384615385,0.15384615384615385,0,0,0
del,sindresorhus/del,1,0.8769807800420442,21,0.9130434782608695,0.9545454545454546,1,0.043478260869565216,0.045454545454545456,1,0.043478260869565216,0.045454545454545456
through,dominictarr/through,1,0.8758073424161721,21,0.7241379310344828,1,0,0,0,8,0.27586206896551724,0.38095238095238093
depd,dougwilson/nodejs-depd,1,0.8740735831294395,17,1,1,0,0,0,0,0,0
cors,expressjs/cors,1,0.8737772109089113,27,0.7941176470588235,0.9310344827586207,2,0.058823529411764705,0.06896551724137931,5,0.14705882352941177,0.1724137931034483
hoist-non-react-statics,mridgway/hoist-non-react-statics,1,0.8730830655755895,31,0.96875,0.96875,1,0.03125,0.03125,0,0,0
he,mathiasbynens/he,1,0.8728774247940942,5,0.18518518518518517,1,0,0,0,22,0.8148148148148148,4.4
reselect,reactjs/reselect,1,0.8723519908611429,15,0.5769230769230769,0.8823529411764706,2,0.07692307692307693,0.11764705882352941,9,0.34615384615384615,0.5294117647058824
strip-ansi,chalk/strip-ansi,1,0.8705387340285204,14,0.875,0.875,2,0.125,0.125,0,0,0
bytes,visionmedia/bytes.js,1,0.8677732153362526,6,0.375,1,0,0,0,10,0.625,1.6666666666666667
accepts,jshttp/accepts,1,0.8671300293289466,33,0.9428571428571428,1,0,0,0,2,0.05714285714285714,0.06060606060606061
eslint-plugin-jsx-a11y,evcohen/eslint-plugin-jsx-a11y,1,0.8657027249560622,58,0.8169014084507042,0.90625,6,0.08450704225352113,0.09375,7,0.09859154929577464,0.109375
xmlbuilder,oozcitak/xmlbuilder-js,1,0.8652061471566209,60,0.6521739130434783,0.8955223880597015,7,0.07608695652173914,0.1044776119402985,25,0.2717391304347826,0.373134328358209
vinyl-fs,gulpjs/vinyl-fs,1,0.8646337000914308,4,0.09090909090909091,1,0,0,0,40,0.9090909090909091,10
tar,npm/node-tar,1,0.8646039969603493,51,0.5930232558139535,0.7083333333333334,21,0.2441860465116279,0.2916666666666667,14,0.16279069767441862,0.19444444444444445
micromatch,micromatch/micromatch,1,0.864368865108242,37,0.5967741935483871,0.74,13,0.20967741935483872,0.26,12,0.1935483870967742,0.24
parseurl,pillarjs/parseurl,1,0.8641799525919962,5,0.45454545454545453,1,0,0,0,6,0.5454545454545454,1.2
type-is,jshttp/type-is,1,0.862608929021603,36,0.972972972972973,1,0,0,0,1,0.02702702702702703,0.027777777777777776
methods,jshttp/methods,1,0.862533074604311,2,0.2857142857142857,0.2857142857142857,5,0.7142857142857143,0.7142857142857143,0,0,0
